year,occupation,job_satisfaction,hours_worked,age,sex,highest_degree,stress_level,marital_status,race,work_status,num_children,income
2006,Construction,very satisfied,,49.0,female,graduate,always,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,62.0,male,bachelor's,often,married,white,working full time,1.0,"$25,000 or more"
2006,Wholesalers,very dissatisfied,,28.0,male,associate/junior college,hardly ever,never married,white,working full time,0.0,"$20,000 to $24,999"
2006,Construction,moderately satisfied,,42.0,male,high school,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,34.0,female,high school,sometimes,married,black,working full time,3.0,"$25,000 or more"
2006,Services,moderately satisfied,,69.0,male,high school,sometimes,married,black,working part time,6.0,"$25,000 or more"
2006,Services,moderately satisfied,,22.0,female,high school,always,never married,white,working full time,1.0,"$25,000 or more"
2006,Services,moderately satisfied,,32.0,male,high school,sometimes,never married,white,working full time,1.0,"$25,000 or more"
2006,Construction,very satisfied,,63.0,male,high school,sometimes,married,white,working part time,4.0,"$25,000 or more"
2006,Agriculture,very satisfied,,55.0,female,high school,sometimes,divorced,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,60.0,male,bachelor's,never,divorced,white,working full time,4.0,"$25,000 or more"
2006,Wholesalers,very satisfied,,24.0,male,bachelor's,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Services,a little dissatisfied,,41.0,female,high school,sometimes,married,white,working full time,3.0,"$25,000 or more"
2006,Manufacturing,very satisfied,50.0,60.0,male,bachelor's,sometimes,married,white,"with a job, but not at work because of temporary illness, vacation, strike",1.0,"$25,000 or more"
2006,Stores,moderately satisfied,,62.0,female,high school,hardly ever,married,white,working full time,1.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,39.0,female,graduate,often,married,white,working part time,1.0,"$25,000 or more"
2006,Services,moderately satisfied,,66.0,female,high school,hardly ever,divorced,white,working part time,3.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,28.0,male,associate/junior college,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,50.0,male,high school,hardly ever,never married,white,working full time,0.0,"$1,000 to $2,999"
2006,Wholesalers,moderately satisfied,,39.0,male,high school,sometimes,divorced,white,working full time,3.0,"$25,000 or more"
2006,Government/Military,moderately satisfied,,25.0,female,high school,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,46.0,male,high school,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Government/Military,moderately satisfied,,31.0,female,bachelor's,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Construction,moderately satisfied,,30.0,male,high school,hardly ever,never married,black,working full time,0.0,"$10,000 to $14,999"
2006,Other,very satisfied,,41.0,male,less than high school,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Manufacturing,very satisfied,,43.0,male,high school,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Education,very satisfied,,51.0,female,associate/junior college,often,married,white,working full time,2.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,28.0,male,less than high school,sometimes,married,black,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,55.0,male,bachelor's,often,married,white,working full time,2.0,"$25,000 or more"
2006,Government/Military,very satisfied,,54.0,male,graduate,often,divorced,white,working full time,2.0,"$25,000 or more"
2006,Manufacturing,very dissatisfied,,23.0,male,high school,sometimes,divorced,other,working full time,1.0,"$20,000 to $24,999"
2006,Services,moderately satisfied,,27.0,female,less than high school,sometimes,married,other,working part time,0.0,"$20,000 to $24,999"
2006,Services,moderately satisfied,,31.0,male,bachelor's,hardly ever,married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,22.0,female,high school,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,moderately satisfied,,65.0,female,high school,sometimes,married,white,working full time,4.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,51.0,male,associate/junior college,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Education,very satisfied,,43.0,female,bachelor's,never,married,white,working full time,2.0,"$25,000 or more"
2006,Wholesalers,very satisfied,,48.0,female,high school,often,married,white,working full time,3.0,"$25,000 or more"
2006,Healthcare,very satisfied,,46.0,female,graduate,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Stores,moderately satisfied,,27.0,male,high school,hardly ever,married,white,working full time,1.0,"$25,000 or more"
2006,Services,very satisfied,,58.0,male,associate/junior college,sometimes,married,white,working full time,7.0,"$25,000 or more"
2006,Services,moderately satisfied,,44.0,male,high school,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Government/Military,moderately satisfied,,47.0,female,associate/junior college,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,57.0,female,high school,always,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,40.0,female,graduate,always,divorced,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,57.0,male,high school,sometimes,married,white,working full time,4.0,"$25,000 or more"
2006,Stores,moderately satisfied,,72.0,male,graduate,hardly ever,widowed,white,working part time,5.0,"$25,000 or more"
2006,Services,a little dissatisfied,,33.0,female,associate/junior college,often,married,white,working full time,2.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,35.0,male,high school,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Manufacturing,very satisfied,,42.0,male,high school,sometimes,married,white,working full time,3.0,"$25,000 or more"
2006,Wholesalers,very satisfied,,48.0,male,high school,often,married,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,38.0,female,high school,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,37.0,female,associate/junior college,sometimes,divorced,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,48.0,male,high school,often,married,white,working full time,2.0,"$25,000 or more"
2006,Education,moderately satisfied,,52.0,female,graduate,sometimes,divorced,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,75.0,male,graduate,often,widowed,white,working part time,2.0,"$25,000 or more"
2006,Wholesalers,a little dissatisfied,,58.0,male,high school,always,married,white,working full time,2.0,"$25,000 or more"
2006,Healthcare,very satisfied,,46.0,female,graduate,sometimes,married,white,working part time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,58.0,male,high school,sometimes,married,white,working full time,4.0,"$25,000 or more"
2006,Services,very satisfied,,26.0,female,high school,sometimes,never married,other,working full time,0.0,"$25,000 or more"
2006,Stores,moderately satisfied,,40.0,male,high school,often,married,white,working full time,2.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,49.0,female,less than high school,never,widowed,other,working full time,8.0,"$20,000 to $24,999"
2006,Education,very satisfied,,65.0,female,high school,sometimes,widowed,white,working part time,4.0,"$25,000 or more"
2006,Manufacturing,a little dissatisfied,,27.0,male,high school,often,divorced,white,working part time,0.0,"$10,000 to $14,999"
2006,Manufacturing,moderately satisfied,,52.0,male,high school,sometimes,divorced,white,working full time,1.0,"$4,000 to $4,999"
2006,Services,moderately satisfied,,22.0,female,high school,often,never married,other,working full time,0.0,"$25,000 or more"
2006,Services,very dissatisfied,,28.0,male,less than high school,never,never married,black,working part time,0.0,"$10,000 to $14,999"
2006,Healthcare,very satisfied,,41.0,female,associate/junior college,always,widowed,white,working full time,1.0,"$25,000 or more"
2006,Government/Military,very satisfied,,34.0,female,graduate,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,moderately satisfied,,47.0,male,high school,sometimes,divorced,white,working full time,0.0,"$25,000 or more"
2006,Manufacturing,very satisfied,,30.0,male,graduate,often,married,white,working full time,2.0,"$25,000 or more"
2006,Services,a little dissatisfied,,24.0,male,associate/junior college,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Education,very satisfied,,31.0,male,graduate,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,moderately satisfied,,34.0,male,bachelor's,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,60.0,female,high school,often,married,white,working full time,1.0,"$25,000 or more"
2006,Wholesalers,very satisfied,,53.0,female,high school,always,divorced,white,working full time,1.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,52.0,female,high school,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Stores,moderately satisfied,,49.0,female,high school,often,divorced,white,working full time,2.0,"$15,000 to $19,999"
2006,Manufacturing,a little dissatisfied,,24.0,male,high school,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Education,moderately satisfied,38.0,37.0,female,bachelor's,sometimes,divorced,white,"with a job, but not at work because of temporary illness, vacation, strike",2.0,"$25,000 or more"
2006,Education,very satisfied,,36.0,male,graduate,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,68.0,male,bachelor's,sometimes,divorced,white,working full time,3.0,"$25,000 or more"
2006,Services,very satisfied,,31.0,female,bachelor's,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,35.0,female,high school,never,married,white,working part time,3.0,"$25,000 or more"
2006,Services,very satisfied,,51.0,female,high school,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,27.0,female,bachelor's,often,married,white,working full time,1.0,"$25,000 or more"
2006,Healthcare,very satisfied,,35.0,female,high school,hardly ever,married,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,45.0,female,bachelor's,hardly ever,married,white,working part time,3.0,"$25,000 or more"
2006,Wholesalers,very satisfied,,45.0,female,bachelor's,often,divorced,white,working full time,1.0,"$25,000 or more"
2006,Agriculture,moderately satisfied,,32.0,male,bachelor's,sometimes,married,other,working full time,5.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,45.0,male,bachelor's,hardly ever,married,white,working full time,1.0,"$25,000 or more"
2006,Healthcare,very satisfied,,54.0,female,high school,always,married,white,working full time,2.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,25.0,male,high school,always,divorced,white,working full time,1.0,"$25,000 or more"
2006,Healthcare,very satisfied,,36.0,female,graduate,always,married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,39.0,female,graduate,sometimes,separated,white,working full time,2.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,40.0,28.0,male,bachelor's,often,never married,other,"with a job, but not at work because of temporary illness, vacation, strike",0.0,"$25,000 or more"
2006,Government/Military,very satisfied,,43.0,female,high school,often,divorced,black,working full time,0.0,"$25,000 or more"
2006,Construction,moderately satisfied,,47.0,male,high school,often,married,white,working full time,2.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,47.0,male,high school,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,47.0,male,bachelor's,sometimes,married,white,working full time,3.0,"$25,000 or more"
2006,Services,moderately satisfied,,45.0,male,bachelor's,often,married,white,working full time,2.0,"$25,000 or more"
2006,Wholesalers,very satisfied,,78.0,male,high school,never,married,white,working part time,2.0,"$20,000 to $24,999"
2006,Government/Military,very satisfied,,33.0,male,graduate,hardly ever,married,white,working full time,2.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,38.0,male,graduate,hardly ever,married,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,37.0,male,bachelor's,often,married,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,34.0,male,high school,sometimes,never married,white,working part time,0.0,"$25,000 or more"
2006,Services,moderately satisfied,,56.0,female,graduate,sometimes,never married,white,working part time,0.0,"$25,000 or more"
2006,Manufacturing,very satisfied,,30.0,male,associate/junior college,often,separated,white,working full time,0.0,"$15,000 to $19,999"
2006,Services,moderately satisfied,,23.0,male,bachelor's,hardly ever,never married,white,working part time,0.0,"$15,000 to $19,999"
2006,Manufacturing,very satisfied,,36.0,male,high school,often,married,white,working full time,1.0,"$25,000 or more"
2006,Manufacturing,a little dissatisfied,,56.0,male,high school,never,divorced,other,working full time,3.0,"$15,000 to $19,999"
2006,Services,moderately satisfied,,46.0,female,associate/junior college,often,married,white,working full time,2.0,"$25,000 or more"
2006,Stores,moderately satisfied,,55.0,male,high school,sometimes,married,white,working full time,3.0,"$25,000 or more"
2006,Services,a little dissatisfied,,30.0,male,bachelor's,hardly ever,married,white,working full time,1.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,43.0,female,bachelor's,sometimes,married,white,working part time,4.0,"$25,000 or more"
2006,Services,very satisfied,,32.0,male,associate/junior college,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Healthcare,very satisfied,,55.0,female,high school,sometimes,married,white,working full time,0.0,"$15,000 to $19,999"
2006,Education,moderately satisfied,,52.0,female,graduate,often,married,white,working full time,3.0,"$25,000 or more"
2006,Services,very satisfied,,71.0,female,less than high school,never,widowed,white,working part time,4.0,"$25,000 or more"
2006,Services,very satisfied,,57.0,female,bachelor's,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,30.0,female,bachelor's,often,married,white,working full time,0.0,"$25,000 or more"
2006,Education,moderately satisfied,12.0,33.0,female,bachelor's,always,married,white,"with a job, but not at work because of temporary illness, vacation, strike",0.0,"$25,000 or more"
2006,Stores,moderately satisfied,,47.0,female,high school,sometimes,married,white,working part time,0.0,"$25,000 or more"
2006,Wholesalers,very satisfied,,23.0,male,high school,always,never married,white,working full time,0.0,"$15,000 to $19,999"
2006,Services,very satisfied,,27.0,male,high school,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Education,moderately satisfied,,61.0,female,bachelor's,often,separated,black,working full time,3.0,"$25,000 or more"
2006,Healthcare,very dissatisfied,,54.0,female,associate/junior college,always,divorced,black,working full time,3.0,"$25,000 or more"
2006,Other,moderately satisfied,,28.0,male,high school,sometimes,married,other,working full time,3.0,"$25,000 or more"
2006,Other,a little dissatisfied,,38.0,male,less than high school,hardly ever,never married,other,working full time,5.0,"$3,000 to $3,999"
2006,Services,moderately satisfied,,36.0,male,high school,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Education,very satisfied,,54.0,female,graduate,always,divorced,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,36.0,female,associate/junior college,sometimes,never married,black,working full time,2.0,"$25,000 or more"
2006,Manufacturing,very satisfied,,44.0,male,bachelor's,hardly ever,divorced,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,26.0,male,associate/junior college,hardly ever,never married,white,working part time,0.0,"$10,000 to $14,999"
2006,Other,very dissatisfied,,55.0,male,graduate,always,married,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,50.0,female,graduate,sometimes,divorced,other,working full time,0.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,50.0,male,high school,sometimes,divorced,black,working full time,1.0,"$8,000 to $9,999"
2006,Education,very satisfied,,27.0,female,graduate,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Stores,very satisfied,,43.0,male,high school,hardly ever,married,white,working full time,3.0,"$25,000 or more"
2006,Education,moderately satisfied,,54.0,female,graduate,often,divorced,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,44.0,male,bachelor's,often,married,white,working full time,5.0,"$25,000 or more"
2006,Education,moderately satisfied,,44.0,female,high school,hardly ever,married,white,working full time,2.0,"$25,000 or more"
2006,Wholesalers,moderately satisfied,44.0,59.0,female,high school,sometimes,married,white,"with a job, but not at work because of temporary illness, vacation, strike",2.0,"$25,000 or more"
2006,Services,very satisfied,,41.0,male,high school,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,33.0,male,high school,hardly ever,separated,white,working full time,2.0,"$25,000 or more"
2006,Services,very satisfied,,35.0,male,bachelor's,often,married,white,working full time,3.0,"$25,000 or more"
2006,Services,moderately satisfied,50.0,20.0,male,high school,sometimes,never married,white,"with a job, but not at work because of temporary illness, vacation, strike",0.0,"$25,000 or more"
2006,Stores,moderately satisfied,,47.0,female,high school,sometimes,divorced,white,working full time,1.0,"$25,000 or more"
2006,Services,moderately satisfied,,20.0,female,high school,hardly ever,never married,white,working part time,0.0,"$20,000 to $24,999"
2006,Services,moderately satisfied,,44.0,male,high school,never,married,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,46.0,female,bachelor's,always,married,white,working full time,3.0,"$25,000 or more"
2006,Services,very satisfied,,25.0,female,graduate,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,a little dissatisfied,,45.0,male,graduate,often,never married,white,working part time,0.0,"$25,000 or more"
2006,Services,very dissatisfied,,25.0,male,associate/junior college,hardly ever,never married,white,working full time,0.0,"$25,000 or more"
2006,Other,very satisfied,,51.0,male,graduate,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,moderately satisfied,,23.0,male,high school,hardly ever,never married,white,working part time,0.0,"$5,000 to $5,999"
2006,Services,very satisfied,,50.0,female,high school,sometimes,divorced,white,working full time,1.0,"$25,000 or more"
2006,Services,very satisfied,,39.0,male,associate/junior college,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Services,very dissatisfied,40.0,27.0,male,high school,always,never married,white,"with a job, but not at work because of temporary illness, vacation, strike",0.0,"$20,000 to $24,999"
2006,Stores,very satisfied,,51.0,male,high school,often,married,white,working full time,3.0,"$25,000 or more"
2006,Services,very satisfied,,61.0,male,high school,hardly ever,married,white,working full time,4.0,"$25,000 or more"
2006,Services,very satisfied,,47.0,female,associate/junior college,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Construction,very satisfied,,30.0,male,less than high school,hardly ever,separated,other,working full time,1.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,25.0,male,bachelor's,sometimes,married,black,working full time,2.0,"$25,000 or more"
2006,Stores,very satisfied,,32.0,male,high school,never,never married,white,working full time,0.0,"$25,000 or more"
2006,Other,moderately satisfied,,35.0,male,high school,sometimes,married,other,working full time,2.0,"$25,000 or more"
2006,Healthcare,very satisfied,,30.0,male,graduate,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,39.0,male,graduate,hardly ever,divorced,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,34.0,male,bachelor's,hardly ever,divorced,white,working full time,1.0,"$25,000 or more"
2006,Services,very satisfied,,26.0,female,bachelor's,always,married,white,working full time,0.0,"$25,000 or more"
2006,Education,moderately satisfied,,48.0,male,graduate,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,39.0,female,bachelor's,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Services,moderately satisfied,,22.0,female,bachelor's,sometimes,never married,white,working full time,0.0,"$8,000 to $9,999"
2006,Services,very satisfied,,39.0,female,high school,sometimes,divorced,white,working full time,1.0,"$25,000 or more"
2006,Agriculture,very satisfied,,33.0,male,bachelor's,often,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,45.0,female,associate/junior college,often,married,white,working part time,2.0,"$25,000 or more"
2006,Services,very satisfied,,26.0,male,high school,never,never married,black,working full time,4.0,"$3,000 to $3,999"
2006,Education,a little dissatisfied,,26.0,male,graduate,sometimes,never married,white,working part time,0.0,"$15,000 to $19,999"
2006,Stores,very satisfied,,31.0,female,high school,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Services,very dissatisfied,,24.0,female,high school,often,never married,white,working full time,1.0,"$7,000 to $7,999"
2006,Healthcare,moderately satisfied,,34.0,female,associate/junior college,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Services,moderately satisfied,,32.0,female,high school,always,married,white,working full time,2.0,"$25,000 or more"
2006,Other,moderately satisfied,,35.0,male,high school,always,divorced,white,working full time,2.0,"$25,000 or more"
2006,Education,very satisfied,,53.0,female,high school,often,married,white,working full time,0.0,"$25,000 or more"
2006,Education,very satisfied,,25.0,female,bachelor's,sometimes,divorced,white,working full time,0.0,"$25,000 or more"
2006,Construction,very satisfied,,32.0,male,high school,always,married,white,working full time,1.0,"$25,000 or more"
2006,Education,very satisfied,,37.0,female,bachelor's,often,never married,white,working part time,0.0,"$25,000 or more"
2006,Services,moderately satisfied,,42.0,female,high school,often,married,white,working full time,2.0,"$25,000 or more"
2006,Education,very satisfied,,57.0,female,graduate,hardly ever,widowed,white,working full time,3.0,"$15,000 to $19,999"
2006,Services,very satisfied,,43.0,male,bachelor's,sometimes,married,white,working full time,2.0,"$25,000 or more"
2006,Education,very satisfied,,36.0,female,high school,sometimes,married,white,working full time,5.0,"$25,000 or more"
2006,Education,very satisfied,,30.0,male,bachelor's,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Manufacturing,a little dissatisfied,,49.0,female,high school,hardly ever,married,white,working full time,0.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,56.0,male,associate/junior college,hardly ever,divorced,white,working full time,1.0,"$25,000 or more"
2006,Manufacturing,a little dissatisfied,,56.0,male,bachelor's,sometimes,divorced,white,working full time,3.0,"$25,000 or more"
2006,Services,moderately satisfied,,50.0,male,high school,often,married,white,working full time,1.0,"$25,000 or more"
2006,Education,very satisfied,,38.0,male,associate/junior college,hardly ever,divorced,white,working full time,2.0,"$25,000 or more"
2006,Healthcare,moderately satisfied,,44.0,female,high school,sometimes,married,white,working full time,3.0,"$25,000 or more"
2006,Construction,moderately satisfied,,43.0,male,bachelor's,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Education,very satisfied,,25.0,female,bachelor's,sometimes,married,white,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,21.0,female,high school,sometimes,never married,white,working full time,0.0,"$25,000 or more"
2006,Healthcare,very satisfied,,69.0,male,graduate,sometimes,married,white,working full time,4.0,"$25,000 or more"
2006,Education,very satisfied,,34.0,male,high school,sometimes,never married,white,working part time,0.0,"$7,000 to $7,999"
2006,Education,moderately satisfied,,51.0,female,graduate,often,married,white,working full time,1.0,"$25,000 or more"
2006,Construction,moderately satisfied,,25.0,male,high school,always,never married,white,working full time,0.0,"$15,000 to $19,999"
2006,Services,very satisfied,,21.0,female,high school,sometimes,never married,white,working part time,0.0,"$8,000 to $9,999"
2006,Education,very satisfied,,31.0,male,graduate,always,never married,other,working part time,0.0,"$10,000 to $14,999"
2006,Manufacturing,very satisfied,,34.0,male,graduate,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Services,very satisfied,,30.0,female,high school,often,married,white,working full time,1.0,"$25,000 or more"
2006,Services,moderately satisfied,,22.0,female,high school,sometimes,never married,white,working part time,0.0,"$25,000 or more"
2006,Stores,very satisfied,,32.0,male,high school,sometimes,married,white,working full time,1.0,"$25,000 or more"
2006,Manufacturing,very satisfied,,34.0,female,high school,often,married,black,working full time,1.0,"$25,000 or more"
2006,Services,moderately satisfied,,26.0,female,high school,hardly ever,never married,black,working full time,3.0,"$3,000 to $3,999"
2006,Stores,moderately satisfied,,42.0,female,less than high school,sometimes,married,white,working full time,2.0,"$20,000 to $24,999"
2006,Manufacturing,very satisfied,,35.0,male,high school,sometimes,divorced,white,working full time,0.0,"$25,000 or more"
2006,Manufacturing,very satisfied,,51.0,female,high school,never,never married,black,working full time,2.0,"$25,000 or more"
2006,Manufacturing,moderately satisfied,,26.0,male,bachelor's,often,never married,black,working full time,0.0,"$25,000 or more"
2006,Stores,moderately satisfied,,22.0,female,high school,hardly ever,never married,white,working part time,0.0,"$20,000 to $24,999"
2006,Manufacturing,moderately satisfied,,35.0,male,high school,always,married,white,working full time,2.0,"$25,000 or more"
2006,Services,moderately satisfied,,33.0,female,high school,sometimes,married,black,working part time,6.0,"$25,000 or more"
2006,Healthcare,a little dissatisfied,,32.0,female,associate/junior college,hardly ever,never married,black,working part time,2.0,"$6,000 to $6,999"
2006,Services,moderately satisfied,,33.0,female,bachelor's,hardly ever,married,black,working full time,0.0,"$25,000 or more"
2006,Services,very satisfied,,42.0,male,less than high school,never,widowed,black,working full time,6.0,"$10,000 to $14,999"
2006,Stores,moderately satisfied,,46.0,female,high school,never,divorced,white,working full time,2.0,"$10,000 to $14,999"
2006,Healthcare,moderately satisfied,,29.0,female,high school,hardly ever,never married,black,working full time,0.0,"$15,000 to $19,999"
2006,Education,very satisfied,,25.0,female,high school,often,married,black,working full time,2.0,"$25,000 or more"
2006,Stores,a little dissatisfied,,31.0,male,high school,hardly ever,never married,black,working part time,1.0,"$10,000 to $14,999"
